account_rewards,date
-90380.90440000252,2013-03-08
-162569.85639999976,2013-03-11
-111127.9564,2013-03-12
-27136.69759999616,2013-03-13
-108264.89160000146,2013-03-14
-175266.14110760178,2013-03-15
-127316.99039999931,2013-03-18
129189.23400000148,2013-03-19
-71444.76000000241,2013-03-20
-17511.7263999966,2013-03-21
-70612.13800000078,2013-03-22
-75823.47640000109,2013-03-25
-37975.94519999825,2013-03-26
-184015.7896000006,2013-03-27
-78484.06679999839,2013-03-28
-133978.57720000087,2013-03-29
-175451.1228000004,2013-04-01
-81263.94320000088,2013-04-02
-64542.810399999325,2013-04-03
-24655.376800000322,2013-04-08
-20106.477600004575,2013-04-09
-86748.3199999979,2013-04-10
-56575.99199999981,2013-04-11
-107269.52359999798,2013-04-12
-64654.73999999942,2013-04-15
83922.88200000068,2013-04-16
-70261.41640000479,2013-04-17
37853.57480000267,2013-04-18
-161248.80599999992,2013-04-19
-185990.21400000114,2013-04-22
44760.64160000038,2013-04-23
-53431.72119999973,2013-04-24
-141066.67799999937,2013-04-25
-143444.56360000043,2013-04-26
10789.205200001952,2013-05-02
39762.98400000197,2013-05-03
30602.334399995303,2013-05-06
-1024.4275999998106,2013-05-07
-38860.178799997084,2013-05-08
-19175.8983999991,2013-05-09
-120796.72160000342,2013-05-10
-207725.17919999745,2013-05-13
-29211.74040000174,2013-05-14
2665.5768000002654,2013-05-15
-7732.060000001221,2013-05-16
-61055.50880000102,2013-05-17
-90381.03519999849,2013-05-20
-25695.38359999921,2013-05-21
-140552.29119999922,2013-05-22
-61670.83719999941,2013-05-23
-78691.96400000124,2013-05-24
16388.280399999585,2013-05-27
-70638.88639999933,2013-05-28
-114224.08079999957,2013-05-29
-150159.92119999905,2013-05-30
-47720.34680000322,2013-05-31
-102863.38279999942,2013-06-03
-21924.746800000554,2013-06-04
-123511.76839999709,2013-06-05
-211704.86280000146,2013-06-06
-206322.85840000046,2013-06-07
7957.914799997852,2013-06-13
15020.094400000968,2013-06-14
53106.270400002235,2013-06-17
-5392.639999999052,2013-06-18
-251818.89600000312,2013-06-19
-50009.175600000046,2013-06-20
-290458.2603999985,2013-06-21
5741.866000000319,2013-06-24
-82800.38120000117,2013-06-25
-90425.54519999867,2013-06-26
5443.572799998344,2013-06-27
-135468.53359999848,2013-06-28
53783.053200001166,2013-07-01
-157154.70800000077,2013-07-02
-69191.6579999972,2013-07-03
-31046.78440000313,2013-07-04
-184340.37359999915,2013-07-05
-114760.19080000307,2013-07-08
12667.468800003746,2013-07-09
84527.50439999579,2013-07-10
-143005.28519999635,2013-07-11
-31286.50240000306,2013-07-12
19336.7792000036,2013-07-15
-153653.75560000044,2013-07-16
-138991.82400000383,2013-07-17
-252916.26039999662,2013-07-18
-16360.529600000069,2013-07-19
89291.56480000053,2013-07-22
-114827.20680000265,2013-07-23
-85422.59799999896,2013-07-24
-123732.65159999969,2013-07-25
-174207.1248000007,2013-07-26
-83331.30760000068,2013-07-29
-98487.84479999842,2013-07-30
66615.54359999736,2013-07-31
-19447.43719999994,2013-08-01
17958.61880000132,2013-08-02
-54842.863200003536,2013-08-05
-79681.29519999419,2013-08-06
-88117.9480000025,2013-08-07
4199.020799999171,2013-08-08
110101.66680000222,2013-08-09
-47992.61080000394,2013-08-12
-120660.55479999687,2013-08-13
-128033.11999999674,2013-08-14
-159169.50080000362,2013-08-15
24835.794400000428,2013-08-16
-128543.3887999997,2013-08-19
-46030.363599998615,2013-08-20
-70489.5968000025,2013-08-21
-123503.42279999855,2013-08-22
15408.884399998378,2013-08-23
-62878.492800001186,2013-08-26
-149611.6191999985,2013-08-27
-121867.42520000125,2013-08-28
-83802.18839999783,2013-08-29
-187431.9516000006,2013-08-30
25142.734000003227,2013-09-02
-84743.75040000147,2013-09-03
-93460.56000000285,2013-09-04
-62568.67199999797,2013-09-05
29750.87079999788,2013-09-06
-28077.30839999635,2013-09-09
-37741.66879999995,2013-09-10
-77787.85480000317,2013-09-11
-50573.646399998914,2013-09-12
-88589.12160000044,2013-09-13
-203242.2588000002,2013-09-16
-13925.45919999998,2013-09-17
-32544.01919999907,2013-09-18
-127089.63040000078,2013-09-23
-123883.70800000116,2013-09-24
-77873.71879999992,2013-09-25
