account_rewards,date
-126788.87813799872,2013-12-16
-14226.210554498086,2013-12-17
-59203.43592400278,2013-12-18
-218147.27541290098,2013-12-19
131982.67225800213,2013-12-20
125380.33828680027,2013-12-23
581.7563513984844,2013-12-24
-111728.12464040057,2013-12-25
42100.63574460061,2013-12-26
-31743.30570070006,2013-12-27
16431.618987199803,2013-12-30
79563.80590590033,2013-12-31
-75929.11048159923,2014-01-02
-135707.70927920152,2014-01-03
-24426.15613559932,2014-01-06
-10198.093558798819,2014-01-07
-88495.70227040164,2014-01-08
17868.07388359941,2014-01-09
-87516.00301029815,2014-01-10
50310.66716399841,2014-01-13
27606.234803101288,2014-01-14
-50495.77753580054,2014-01-15
-55992.83897949781,2014-01-16
-72598.44986870344,2014-01-17
59878.11391270037,2014-01-20
138305.3405042,2014-01-21
9742.314067201427,2014-01-22
37535.437983199285,2014-01-23
-116138.36619479966,2014-01-24
29688.900950000996,2014-01-27
60600.92427829775,2014-01-28
-153282.67902250006,2014-01-29
14592.280848902163,2014-01-30
168875.4796821003,2014-02-07
51445.82194839897,2014-02-10
-26162.14946609989,2014-02-11
-75135.53396760144,2014-02-12
-2621.3897458991,2014-02-13
53753.20468190116,2014-02-14
-87109.02393770145,2014-02-17
-31301.492492099496,2014-02-18
-62488.197197501926,2014-02-19
-39879.024419596884,2014-02-20
-228634.9236760008,2014-02-21
-215042.27655609944,2014-02-24
-10628.937937600842,2014-02-25
-53365.296686099726,2014-02-26
11931.420536199937,2014-02-27
-14260.650736201198,2014-02-28
-66507.34350419843,2014-03-03
-20828.89462450011,2014-03-04
-58505.751239899684,2014-03-05
155360.1692384996,2014-03-06
1941.8643423992235,2014-03-07
61216.167964200424,2014-03-10
-34857.62738469958,2014-03-11
117993.25721319953,2014-03-12
-66288.9393873989,2014-03-13
54155.19019879961,2014-03-14
-46807.54985100022,2014-03-17
-32644.512516001552,2014-03-18
-203999.98112349826,2014-03-19
115904.70726759893,2014-03-20
226050.18176640116,2014-03-21
18802.000495598746,2014-03-24
-12464.453723299026,2014-03-25
-20723.98806199931,2014-03-26
-64505.29295830107,2014-03-27
-23550.025850700895,2014-03-28
38674.899376301146,2014-03-31
86253.28930229989,2014-04-01
-30569.920052998874,2014-04-02
61630.14582400062,2014-04-03
212968.90381109944,2014-04-04
-3074.1244868005665,2014-04-08
51470.486332599656,2014-04-09
-66970.60147499865,2014-04-10
69833.38930289916,2014-04-11
-25436.660184802247,2014-04-14
-34607.414491998774,2014-04-15
4842.517361801383,2014-04-16
-115427.62379110044,2014-04-17
-160488.53735960112,2014-04-18
-24769.400855599473,2014-04-21
-42647.504923199755,2014-04-22
31607.473295998934,2014-04-23
-116799.04122059901,2014-04-24
-99537.86376299837,2014-04-25
85333.51941320067,2014-04-28
39643.16349359805,2014-04-29
38295.68878410116,2014-04-30
-21584.490346000784,2014-05-05
-140173.93320169902,2014-05-06
-12825.773144702236,2014-05-07
-192748.66258639947,2014-05-08
-5820.362903000176,2014-05-09
10952.028031801745,2014-05-12
-21599.777082202825,2014-05-13
-113196.1973640988,2014-05-14
-3335.5269533001615,2014-05-15
-41619.79835379848,2014-05-16
21766.389002699285,2014-05-19
98757.74087499981,2014-05-20
-74716.15909059907,2014-05-21
-6406.8590360007165,2014-05-22
51084.95240099902,2014-05-23
-7527.693706199596,2014-05-26
23685.564862300194,2014-05-27
4433.503341199878,2014-05-28
-5042.404165098505,2014-05-29
-51883.63885490092,2014-05-30
-29318.674915500607,2014-06-03
33221.11311920173,2014-06-04
-45884.54032510074,2014-06-05
-76052.12099780072,2014-06-06
30488.906972399993,2014-06-09
31115.56898570066,2014-06-10
22004.10181689977,2014-06-11
16977.977338399578,2014-06-12
53588.667451800735,2014-06-13
-41429.13125900034,2014-06-16
32277.22653400011,2014-06-17
-31975.614149499543,2014-06-18
3457.094363301363,2014-06-19
-7541.371117000317,2014-06-20
8394.809641298136,2014-06-23
-48907.08017209959,2014-06-24
13372.820850400545,2014-06-25
-17134.059131099388,2014-06-26
9107.899454000504,2014-06-27
60119.48048629934,2014-06-30
-8304.44360619912,2014-07-01
14189.15549589961,2014-07-02
45999.12515679992,2014-07-03
-5088.83131949994,2014-07-04
42042.27535129996,2014-07-07
-86710.42726280031,2014-07-08
-26287.045040401827,2014-07-09
12149.602231800616,2014-07-10
39890.57262310195,2014-07-11
-11749.568615401033,2014-07-14
18495.838038899346,2014-07-15
10772.405532801302,2014-07-16
18945.15138579924,2014-07-17
-5342.836456000048,2014-07-18
137728.83650070158,2014-07-21
32223.36694379949,2014-07-22
76524.93188199945,2014-07-23
28152.826123101386,2014-07-24
112526.3283067991,2014-07-25
-4464.4020634987655,2014-07-28
-45891.468026900955,2014-07-29
68084.73733110017,2014-07-30
-15474.257655000529,2014-07-31
154202.81886159937,2014-08-01
-26558.99346699916,2014-08-04
59233.39689210075,2014-08-05
-54822.74161859984,2014-08-06
1197.0362811982766,2014-08-07
94887.92645730118,2014-08-08
-24602.959973099325,2014-08-11
-17815.675566100184,2014-08-12
-118956.13816030134,2014-08-13
8653.731292901208,2014-08-14
51340.279571799474,2014-08-15
-9332.897634000667,2014-08-18
-27064.999850998323,2014-08-19
-39582.112666401095,2014-08-20
98650.93984110038,2014-08-21
27389.875835699888,2014-08-22
-93748.46597610025,2014-08-25
37449.33205580118,2014-08-26
-19502.65282190116,2014-08-27
50754.03676790022,2014-08-28
27981.874828299788,2014-08-29
41433.55488149956,2014-09-01
98101.30826289831,2014-09-02
28843.41459800157,2014-09-03
43437.21321690045,2014-09-04
-55652.658352799386,2014-09-05
1874.1186944983986,2014-09-09
-2083.135443798232,2014-09-10
45464.454358100345,2014-09-11
-31033.21961420209,2014-09-12
-127453.58559319988,2014-09-15
31148.2974759015,2014-09-16
1459.7330615006165,2014-09-17
-27193.71798030126,2014-09-18
-33210.68307409977,2014-09-19
-2642.7853921983733,2014-09-22
84341.36097709849,2014-09-23
26271.893063800333,2014-09-24
-29081.306354698787,2014-09-25
-63252.91918700016,2014-09-26
6231.944244400759,2014-09-29
21777.860392097406,2014-09-30
71303.78950610265,2014-10-08
-117380.68876800018,2014-10-09
-38299.20422980146,2014-10-10
-33948.53070770031,2014-10-13
-16377.78044529876,2014-10-14
-71873.95395920103,2014-10-15
-21915.50412859856,2014-10-16
44401.1954176985,2014-10-17
-58969.16235899923,2014-10-20
5106.428030899702,2014-10-21
-54823.145254399686,2014-10-22
-116596.69691439986,2014-10-23
23290.98115400003,2014-10-24
73466.762660999,2014-10-27
53232.41196199937,2014-10-28
34644.51154360106,2014-10-29
69953.88268109933,2014-10-30
31173.875531800477,2014-10-31
104433.50875110149,2014-11-03
8043.580069499568,2014-11-04
10054.193839700136,2014-11-05
-28861.8459318001,2014-11-06
123191.42985510001,2014-11-07
-51620.937521400076,2014-11-10
51828.35702840076,2014-11-11
-39364.86628950081,2014-11-12
-69861.61764900007,2014-11-13
-38741.495436900266,2014-11-14
-18805.39189620125,2014-11-17
-5423.969282599579,2014-11-18
-38964.20622330051,2014-11-19
60869.68879500137,2014-11-20
156488.81101839888,2014-11-21
134304.3916732996,2014-11-24
-11728.243436897592,2014-11-25
-1181.6092834011688,2014-11-26
164605.7793096002,2014-11-27
267.5489992994278,2014-11-28
171033.54848529995,2014-12-01
69400.62590230154,2014-12-02
205321.07827029945,2014-12-03
103612.81795089925,2014-12-04
151698.87147880075,2014-12-05
-399832.7635349009,2014-12-08
305668.50125300203,2014-12-09
-20486.84550610146,2014-12-10
-44442.15832739922,2014-12-11
-12665.754441899977,2014-12-12
26660.92592389991,2014-12-15
-30950.620203599847,2014-12-16
88366.31253579955,2014-12-17
187254.91264050044,2014-12-18
66667.58369870001,2014-12-19
-247691.53425559995,2014-12-22
-141748.7550078007,2014-12-23
239901.1426166997,2014-12-24
91373.59423460065,2014-12-25
173809.71552990013,2014-12-26
53268.73068910088,2014-12-29
52002.26642539969,2014-12-30
447521.4043088003,2014-12-31
102240.17606299919,2015-01-05
-33841.36161930098,2015-01-06
-157962.5256052003,2015-01-07
-88526.11129719799,2015-01-08
-27328.808862499558,2015-01-09
103948.04653559923,2015-01-12
-77921.53319270018,2015-01-13
96836.06132720048,2015-01-14
10716.057009399876,2015-01-15
-567514.3586271985,2015-01-16
238431.4787465973,2015-01-19
229073.36819740225,2015-01-20
60939.08927389848,2015-01-21
-66036.27621419854,2015-01-22
56541.33254599902,2015-01-23
-8388.480244599466,2015-01-26
-121025.47923300072,2015-01-27
-49303.759197398926,2015-01-28
-95004.624682202,2015-01-29
-28092.163023998135,2015-01-30
229811.75359999912,2015-02-02
29977.977380602337,2015-02-03
-147066.6886689016,2015-02-04
-56025.532383999875,2015-02-05
55516.394863099435,2015-02-06
104145.73635830205,2015-02-09
38072.856382097765,2015-02-10
8819.352165200375,2015-02-11
-13737.575228600064,2015-02-12
56131.0739396983,2015-02-13
56436.14093960234,2015-02-16
-147781.7141355987,2015-02-17
79645.29206540021,2015-02-25
-26491.011210300898,2015-02-26
82149.2825357979,2015-02-27
-142685.442773398,2015-03-02
112670.40874600068,2015-03-03
-203742.39910940191,2015-03-04
97650.22323400054,2015-03-05
116903.39857040123,2015-03-06
-47991.24943160051,2015-03-09
37486.116673600656,2015-03-10
23652.04675029887,2015-03-11
132176.3906270013,2015-03-12
134869.4921740002,2015-03-13
201749.4353047997,2015-03-16
108483.21077439967,2015-03-17
26176.865548599617,2015-03-18
70971.57640880145,2015-03-19
332719.53687009873,2015-03-20
183681.70573359964,2015-03-23
94660.55943729958,2015-03-24
-189292.5429881989,2015-03-25
-56220.17205869899,2015-03-26
161570.70350100021,2015-03-27
29890.666308999003,2015-03-30
242345.9412816002,2015-03-31
85153.70583539884,2015-04-01
15615.440264001789,2015-04-02
400586.0742107999,2015-04-03
-148633.41100010133,2015-04-07
-132960.6028273993,2015-04-08
270634.8554401983,2015-04-09
229421.98914940096,2015-04-10
-157168.01345429796,2015-04-13
-205754.35865080086,2015-04-14
317847.07512250094,2015-04-15
130153.62612699941,2015-04-16
-206366.94298419973,2015-04-17
368538.4962764,2015-04-20
272389.2446761998,2015-04-21
34662.72358160243,2015-04-22
172102.40224780008,2015-04-23
334237.5064809978,2015-04-24
-226956.3330335989,2015-04-27
-20528.320334802702,2015-04-28
-180541.55493850008,2015-04-29
-34496.7684773984,2015-04-30
-1469967.3415497,2015-05-04
-225695.9338633977,2015-05-05
-149493.5663306012,2015-05-06
150574.390049698,2015-05-07
260733.05782160093,2015-05-08
45487.178200101014,2015-05-11
-213994.86484620013,2015-05-12
47052.953762799036,2015-05-13
-217134.78751440076,2015-05-14
-77233.1228333985,2015-05-15
177916.95136830083,2015-05-18
2334.0305114991343,2015-05-19
240099.18404680231,2015-05-20
259986.02654869945,2015-05-21
166700.9779029992,2015-05-22
6798.366384599748,2015-05-25
-9299.751104300305,2015-05-26
-363144.36450399825,2015-05-27
-67544.0606529008,2015-05-28
417622.028776799,2015-05-29
7895.257194401923,2015-06-01
-110733.45791000027,2015-06-02
-94998.20789650065,2015-06-03
165215.6590192,2015-06-04
276378.7496338005,2015-06-05
-3257.5578505996764,2015-06-08
-77610.85526790019,2015-06-09
-124264.86187399896,2015-06-10
109749.89740209859,2015-06-11
-231762.24061400056,2015-06-12
-367647.1474772993,2015-06-15
127675.31489880178,2015-06-16
-380672.6153749,2015-06-17
-497326.17554199824,2015-06-18
138675.0469016963,2015-06-19
246070.85948360074,2015-06-23
-215538.8755086997,2015-06-24
-579803.9678644987,2015-06-25
-155942.80642060004,2015-06-26
384012.39474849903,2015-06-29
-362459.6599975998,2015-06-30
-389891.2031860977,2015-07-01
-430538.8528841022,2015-07-02
37536.01479940175,2015-07-03
-99312.56842280127,2015-07-06
-401700.255678299,2015-07-07
414105.82993929915,2015-07-08
391909.45166940143,2015-07-09
307105.40077930037,2015-07-10
-464749.1780501,2015-07-13
-494696.41129910224,2015-07-14
-125087.22972069721,2015-07-15
310398.23489409796,2015-07-16
52323.92385820081,2015-07-17
14296.859624599949,2015-07-20
25529.74355769955,2015-07-21
349558.2608919991,2015-07-22
-51304.4931917976,2015-07-23
-732396.8083504006,2015-07-24
-203464.89883800014,2015-07-27
318016.14739149954,2015-07-28
-237594.4205505005,2015-07-29
45392.8367438008,2015-07-30
-74668.425115401,2015-07-31
249699.2493856008,2015-08-03
-120106.97363630068,2015-08-04
