account_rewards,date
-141444.69159999848,2012-08-22
-24225.22079999914,2012-08-23
-194727.36840000114,2012-08-24
-74044.1684000009,2012-08-27
-170942.13359999677,2012-08-28
-126808.84760000336,2012-08-29
-43242.61799999902,2012-08-30
13164.823599998896,2012-08-31
68973.9436000028,2012-09-03
-30641.289600000644,2012-09-04
-83684.1984000029,2012-09-05
217759.75640000156,2012-09-06
-78599.58760000243,2012-09-07
-112084.42439999845,2012-09-10
-59345.911600001185,2012-09-11
-91461.35599999866,2012-09-12
5197.953600000956,2012-09-13
-242903.11439999926,2012-09-14
-75619.21080000034,2012-09-17
-121099.17560000143,2012-09-18
-187994.60319999835,2012-09-19
-30208.761600002956,2012-09-20
-3485.6795999973956,2012-09-21
7969.222799997917,2012-09-24
-135130.09479999836,2012-09-25
80942.68920000058,2012-09-26
77150.29799999912,2012-09-27
-159595.1335999971,2012-09-28
98626.45199999485,2012-10-08
-83242.04560000115,2012-10-09
-134680.28119999947,2012-10-10
-47032.384799998734,2012-10-11
-27683.544399997245,2012-10-12
21434.502399997506,2012-10-15
-107896.94039999973,2012-10-16
43917.25240000067,2012-10-17
-63117.25879999896,2012-10-18
-93389.41000000172,2012-10-19
-273156.75039999915,2012-10-22
-92777.4423999998,2012-10-23
-84052.99640000053,2012-10-24
-179232.86159999957,2012-10-25
-63653.63279999988,2012-10-26
-69181.68479999983,2012-10-29
-40780.06359999825,2012-10-30
28855.2703999987,2012-10-31
-62208.19720000116,2012-11-01
-167486.29479999747,2012-11-02
-138488.2940000047,2012-11-05
-59006.27359999818,2012-11-06
-142514.26879999955,2012-11-07
-92070.3792000018,2012-11-08
-149185.73919999722,2012-11-09
-132513.70440000138,2012-11-12
5928.0699999995995,2012-11-13
-145239.0123999998,2012-11-14
-181029.3051999997,2012-11-15
-266253.662800003,2012-11-16
-51959.23439999798,2012-11-19
-3935.852399998326,2012-11-20
-113754.74239999906,2012-11-21
40857.97239999956,2012-11-22
-165108.57760000002,2012-11-23
-121616.43039999974,2012-11-26
-95566.971599999,2012-11-27
-62932.27720000229,2012-11-28
-58036.84920000262,2012-11-29
-343736.760799996,2012-11-30
-54672.68400000063,2012-12-03
53079.252800000286,2012-12-04
-109785.2904000006,2012-12-05
55685.78520000041,2012-12-06
-37472.29799999878,2012-12-07
-39850.365200003056,2012-12-10
58819.27680000071,2012-12-11
-182454.60959999837,2012-12-12
110465.8452000014,2012-12-13
-23521.64200000118,2012-12-14
-15550.90040000295,2012-12-17
34762.985999997545,2012-12-18
-77706.4115999956,2012-12-19
-48542.124400001594,2012-12-20
-186625.7435999973,2012-12-21
5116.3879999979845,2012-12-24
-42286.60199999813,2012-12-25
-18195.393200003615,2012-12-26
77023.31240000135,2012-12-27
18562.825200002553,2012-12-28
-187758.8508000022,2012-12-31
-123770.04279999704,2013-01-04
25388.89839999803,2013-01-07
25683.214799999412,2013-01-08
-92466.41560000094,2013-01-09
-159758.74479999815,2013-01-10
55776.59200000026,2013-01-11
-11501.521199999692,2013-01-14
-187813.11920000013,2013-01-15
-111401.63079999892,2013-01-16
21900.100399998963,2013-01-17
-178953.7732000026,2013-01-18
-92764.87319999999,2013-01-21
-22567.945199997943,2013-01-22
-186178.23679999795,2013-01-23
-138283.55520000294,2013-01-24
-157110.0343999991,2013-01-25
-72988.9544,2013-01-28
-62559.56400000095,2013-01-29
-108543.05239999734,2013-01-30
6215.61119999872,2013-01-31
-167961.33599999937,2013-02-01
87894.755999998,2013-02-04
-65855.43519999804,2013-02-05
-11948.565599999973,2013-02-06
79535.10079999753,2013-02-07
-229614.70319999778,2013-02-08
-127562.34280000007,2013-02-18
8356.648799999888,2013-02-19
-143595.3455999996,2013-02-20
-13722.09840000162,2013-02-21
-103514.37759999825,2013-02-22
-129539.8644000031,2013-02-25
-88817.56519999713,2013-02-26
-7537.008800001527,2013-02-27
-64468.77999999896,2013-02-28
-180208.8263999994,2013-03-01
40849.81279999727,2013-03-04
41416.215200001636,2013-03-05
-45853.19519999903,2013-03-06
-104684.16160000126,2013-03-07
-85992.04440000161,2013-03-08
-148702.22640000164,2013-03-11
-83123.53639999907,2013-03-12
-68116.31759999615,2013-03-13
-92390.46160000148,2013-03-14
-225606.78280000092,2013-03-15
-174362.4203999993,2013-03-18
119611.98400000054,2013-03-19
-92805.50000000242,2013-03-20
-1479.1463999966186,2013-03-21
-110256.11800000077,2013-03-22
-85980.46640000108,2013-03-25
-63441.875199998256,2013-03-26
-163617.9196000005,2013-03-27
-75641.70679999838,2013-03-28
-148089.34720000182,2013-03-29
-151816.42279999948,2013-04-01
-88427.64319999996,2013-04-02
-57616.08040000024,2013-04-03
-20315.356800000332,2013-04-08
26253.38239999726,2013-04-09
-89862.17999999975,2013-04-10
-42159.931999999804,2013-04-11
-99604.42359999802,2013-04-12
-61308.36999999847,2013-04-15
84850.00199999886,2013-04-16
-62706.20640000387,2013-04-17
3935.414800001749,2013-04-18
-192459.83599999908,2013-04-19
-150784.38400000025,2013-04-22
50200.861599999465,2013-04-23
-40907.79119999974,2013-04-24
-126560.90799999941,2013-04-25
-151845.63360000134,2013-04-26
2239.0652000019727,2013-05-02
48026.23400000288,2013-05-03
59157.5943999953,2013-05-06
1958.6624000011068,2013-05-07
20860.731200001974,2013-05-08
-22611.908399999113,2013-05-09
-95926.87160000343,2013-05-10
-222708.09919999834,2013-05-13
-13118.47040000081,2013-05-14
-15612.073199999746,2013-05-15
-15457.020000002145,2013-05-16
-61399.18880000011,2013-05-17
-57999.58519999939,2013-05-20
-6915.343599998299,2013-05-21
-96339.13119999837,2013-05-22
-57757.66720000035,2013-05-23
-76275.77400000121,2013-05-24
7651.190399998644,2013-05-27
-65813.0763999975,2013-05-28
-113999.09080000051,2013-05-29
-129955.29119999903,2013-05-30
-37882.126800003214,2013-05-31
-96957.5727999994,2013-06-03
-16269.14680000057,2013-06-04
-116058.83839999707,2013-06-05
-202731.45280000058,2013-06-06
-171076.00840000142,2013-06-07
7628.224799997827,2013-06-13
-11073.635599999034,2013-06-14
26510.46040000223,2013-06-17
-24047.76999999904,2013-06-18
-222087.90600000313,2013-06-19
-57351.31560000096,2013-06-20
-257170.90039999768,2013-06-21
-299.1239999996659,2013-06-24
-95535.23120000117,2013-06-25
-100810.42519999869,2013-06-26
3845.252799998322,2013-06-27
-183440.41359999758,2013-06-28
66911.63320000027,2013-07-01
-160799.22800000076,2013-07-02
-89583.39799999719,2013-07-03
-44363.77440000219,2013-07-04
-167402.48360000004,2013-07-05
-103912.24080000301,2013-07-08
4819.598800004685,2013-07-09
66910.66439999576,2013-07-10
-171116.90519999727,2013-07-11
-44642.67240000306,2013-07-12
43102.88920000265,2013-07-15
-137374.70560000048,2013-07-16
-135501.87400000295,2013-07-17
-233674.45039999657,2013-07-18
-36346.159600000065,2013-07-19
62753.13480000047,2013-07-22
-119160.58680000354,2013-07-23
-43517.07799999804,2013-07-24
-126917.5715999997,2013-07-25
-160450.8448000006,2013-07-26
-106185.97760000161,2013-07-29
