account_rewards,date
-116164.26479999683,2013-08-13
-133849.5799999968,2013-08-14
-146398.7008000036,2013-08-15
-288.4956000004937,2013-08-16
-155949.98879999976,2013-08-19
-36412.27359999767,2013-08-20
-78994.5168000025,2013-08-21
-107854.25279999852,2013-08-22
3799.1143999984097,2013-08-23
-65216.462800000256,2013-08-26
-122079.0491999994,2013-08-27
-134195.26520000127,2013-08-28
-87636.76839999782,2013-08-29
-262957.5116000006,2013-08-30
4940.30400000321,2013-09-02
-88523.57040000145,2013-09-03
-130593.16000000379,2013-09-04
-32734.36199999795,2013-09-05
7320.350799998796,2013-09-06
-50883.22839999635,2013-09-09
-15017.188800000882,2013-09-10
-60804.894800003145,2013-09-11
-56473.41639999797,2013-09-12
-94684.67160000047,2013-09-13
-224529.13880000016,2013-09-16
-20555.15919999996,2013-09-17
-51107.89919999906,2013-09-18
-145768.2104000008,2013-09-23
-129406.51800000116,2013-09-24
-97515.10879999994,2013-09-25
-31869.51559999936,2013-09-26
-49684.5591999978,2013-09-27
-34978.50479999947,2013-09-30
-36703.21440000005,2013-10-08
-108816.3024000021,2013-10-09
-14328.748399998505,2013-10-10
-42111.092000001525,2013-10-11
49123.940399997904,2013-10-14
-143394.26279999877,2013-10-15
-66421.3031999981,2013-10-16
-75843.23280000094,2013-10-17
24770.16920000446,2013-10-18
-107570.27640000326,2013-10-21
-90828.1180000017,2013-10-22
-90328.5480000028,2013-10-23
-266329.15479999484,2013-10-24
-152294.5176000007,2013-10-25
-74367.81080000065,2013-10-28
-49009.215600000505,2013-10-29
-34918.9584000016,2013-10-30
-4987.8123999986965,2013-10-31
-106909.8423999991,2013-11-01
-29291.87679999959,2013-11-04
-82554.63520000015,2013-11-05
-115063.4659999999,2013-11-06
-141990.8827999993,2013-11-07
7467.48839999801,2013-11-08
75047.30400000227,2013-11-11
-106526.5708000005,2013-11-12
-9414.592400000793,2013-11-13
-16543.835599999707,2013-11-14
23990.29120000126,2013-11-15
-59999.7684000047,2013-11-18
-31541.8855999984,2013-11-19
-120636.28439999734,2013-11-20
-71681.18040000222,2013-11-21
-15998.142399998884,2013-11-22
-66050.52200000096,2013-11-25
-17587.123199998037,2013-11-26
34888.62959999788,2013-11-27
-15887.193199998808,2013-11-28
